feature,count,mean,median,std,min,max,q25,q75,skewness,kurtosis
receiving_totalYardsFromScrimmage,13564,299.978759765625,313.0,118.39635467529297,-62.0,727.0,244.0,378.0,-0.7878752779770495,0.7965639828490705
passing_totalYardsFromScrimmage,13564,299.978759765625,313.0,118.39635467529297,-62.0,727.0,244.0,378.0,-0.7878752779770495,0.7965639828490705
rushing_totalYards,13564,299.978759765625,313.0,118.39635467529297,-62.0,727.0,244.0,378.0,-0.7878752779770495,0.7965639828490705
passing_totalYards,13564,299.978759765625,313.0,118.39635467529297,-62.0,727.0,244.0,378.0,-0.7878752779770495,0.7965639828490705
receiving_totalYards,13564,299.978759765625,313.0,118.39635467529297,-62.0,727.0,244.0,378.0,-0.7878752779770495,0.7965639828490705
kicking_fieldGoalsBlocked,13564,0.03759952816278384,0.0,0.19633601719410237,0.0,2.0,0.0,0.0,5.322254343057361,29.124189013552098
passing_QBRating,13564,72.73864765845676,74.57615009819469,32.745114241552876,0.0,158.33333333333331,54.61409759397308,94.44444335531443,-0.35438961743800595,0.038172233724171
passing_quarterbackRating,13564,72.73864765845676,74.57615009819469,32.745114241552876,0.0,158.33333333333331,54.61409759397308,94.44444335531443,-0.35438961743800595,0.038172233724171
scoring_totalPointsPerGame,13564,28.502285461515775,29.0,16.805493323628635,0.0,100.0,16.0,39.0,0.28349270357485085,-0.11960584762481297
scoring_totalPoints,13564,28.502285461515775,29.0,16.805493323628635,0.0,100.0,16.0,39.0,0.28349270357485085,-0.11960584762481297
miscellaneous_fourthDownConvs,13564,0.5603803992271423,0.0,0.8079431653022766,0.0,7.0,0.0,1.0,1.593203120811601,2.871252675661218
scoring_totalTouchdowns,13564,3.513786554336548,3.0,2.469550848007202,0.0,15.0,2.0,5.0,0.5254530538721149,0.014089150564899455
kicking_fieldGoalsBlockedPct,13564,1.7369507519905631,0.0,10.132025544929158,0.0,100.0,0.0,0.0,7.086975571951755,56.41959484208891
passing_netYardsPerPassAttempt,13564,4.767432185852682,4.84375,2.5721010410014267,-4.594594478607178,19.81818199157715,3.195122003555298,6.4375,0.024610468648685074,0.1584684093966482
returning_fumbleRecoveries,13564,0.536714833382483,0.0,0.7497801792914964,0.0,5.0,0.0,1.0,1.4144661455942849,1.906251433878956
miscellaneous_thirdDownConvs,13564,5.23613977432251,5.0,2.667200803756714,0.0,15.0,4.0,7.0,0.022170645240969022,-0.06962100526970216
passing_avgGain,13564,5.8023140640551425,5.930633544921875,2.439107786952574,-0.5,19.81818199157715,4.5810463428497314,7.291666507720947,-0.36002794519218345,0.8726205027906824
returning_puntReturnTouchdowns,13564,0.022780891507864,0.0,0.15214572846889496,0.0,2.0,0.0,0.0,6.770142340914848,46.88916618991313
passing_completionPct,13564,53.926002644375956,57.14285969734192,17.385736900534912,0.0,96.66666388511658,50.0,63.999998569488525,-1.7919511061673354,3.563772336493704
total_leagueWinPercent,13564,49.896785608964905,0.0,50.00173667989808,0.0,100.0,0.0,100.0,0.004128584437949109,-1.999982954790539
miscellaneous_thirdDownAttempts,13564,13.512017104099085,14.0,4.538683634553041,0.0,28.0,12.0,16.0,-1.4667665096606264,2.8164572972574886
returning_puntReturnFairCatchPct,13564,22.370049774760776,20.0,24.1102621399112,0.0,100.0,0.0,33.33333333333333,1.048408909015171,0.7483636274106464
passing_yardsPerCompletion,13564,9.249230324981152,9.60660171508789,3.8452237790416297,-11.0,34.5,7.55555534362793,11.550431251525879,-0.5877709898095347,1.4118277046726453
general_defensiveFumblesTouchdowns,13564,0.042317900324388084,0.0,0.20566867461285787,0.0,2.0,0.0,0.0,4.849045252024958,23.331005568086027
passing_passingYardsPerGame,13564,192.42369507519905,196.0,93.9268368667961,-91.0,522.0,136.0,255.0,-0.1327918051207616,-0.06563511050557391
passing_passingYards,13564,192.42369079589844,196.0,93.92684173583984,-91.0,522.0,136.0,255.0,-0.13279166486142627,-0.0656355293024089
defensive_longInterception,13564,10.10011795930404,0.0,17.689882705789884,-23.0,108.0,0.0,15.0,2.217344958344348,5.384240695451581
passing_passingFumbles,13564,0.5956207513809204,0.0,0.805724024772644,0.0,5.0,0.0,1.0,1.4044832120720956,1.9515733812060745
passing_yardsPerPassAttempt,13564,5.406136247552426,5.526315689086914,2.5061157246651518,-3.1379311084747314,19.81818199157715,4.038105487823486,6.98239541053772,-0.18892005245578003,0.45358363623247033
general_fumblesLost,13564,0.591860830783844,0.0,0.7870018482208252,0.0,6.0,0.0,1.0,1.3562165143067462,1.8346256883883258
miscellaneous_fumblesLost,13564,0.591860830783844,0.0,0.7870018482208252,0.0,6.0,0.0,1.0,1.3562165143067462,1.8346256883883258
rushing_longRushing,13564,21.275951046888824,18.0,14.886377190305922,0.0,99.0,12.0,26.0,1.568321813908713,3.3023738182558677
defensive_totalTackles,13564,48.61103057861328,51.0,14.690449714660645,0.0,84.0,46.0,56.0,-2.2344812090138664,5.212988492899855
punting_avgPuntReturnYards,13564,3.710790045294985,2.6,4.529151059053717,-4.333333333333333,65.0,0.0,5.4,2.6382959313761596,13.472589097883734
defensive_defensiveTouchdowns,13564,0.12968150987909172,0.0,0.36620592235193683,0.0,3.0,0.0,0.0,2.8852927236891652,8.507430600154645
general_fumbles,13564,1.264892339706421,1.0,1.211694359779358,0.0,9.0,0.0,2.0,1.026377012913795,1.1523195447702168
defensive_assistTackles,13564,11.279489517211914,11.0,6.743187427520752,0.0,43.0,7.0,16.0,0.3884398545632237,0.023080250803078517
defensive_stuffYards,13564,21.59488296508789,20.0,14.088336944580078,0.0,100.0,11.0,30.0,0.6785603886578725,0.5168499960854289
